10:15:18 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:15:18 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:15:18 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:15:18 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (5f8fe39c5975d99658adf724fd168437)
10:15:23 | INFO | GifAbbys:22                              | Get title ', element -> By.xpath: //p[@class='header-white'][1]
10:15:27 | INFO | GifAbbys:22                              | Get title ', element -> By.xpath: //p[@class='header-white'][2]
10:15:27 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (5f8fe39c5975d99658adf724fd168437)...
10:15:28 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 272 ms
10:15:28 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:15:28 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639728156_10060_1
10:15:28 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:15:28 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:15:28 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:15:29 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:15:29 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:15:29 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:15:29 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (9fda37f22de2f75d7f9d8b739eaf62ba)
10:15:34 | INFO | ImagesAbbys:22                           | Get title ', element -> By.xpath: //p[@class='header-white'][1]
10:15:37 | INFO | ImagesAbbys:22                           | Get title ', element -> By.xpath: //p[@class='header-white'][2]
10:15:37 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (9fda37f22de2f75d7f9d8b739eaf62ba)...
10:15:38 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 353 ms
10:15:38 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:15:38 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639738195_10060_1
10:15:39 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:15:39 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:15:39 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:15:39 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:15:39 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:15:39 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:15:39 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (7e301dea08385cea4851eab24aeb2ffa)
10:15:46 | INFO | MobileAbbys:22                           | Get title ', element -> By.xpath: //h1[@class='title main-title']
10:15:46 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (7e301dea08385cea4851eab24aeb2ffa)...
